entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-20T10:18:53.147420+09:00,2026-07-21T10:19:14.671212+09:00,SLX,0.25,5080743,12.0,150,149,156,-0.67,1440,타임아웃24h
2026-07-20T10:19:37.989302+09:00,2026-07-21T10:19:58.880521+09:00,KAT,0.01,4286814,85.8,6.93,6.957,7.067,+0.39,1440,타임아웃24h
2026-07-21T02:10:46.930581+09:00,2026-07-21T10:21:29.072085+09:00,XEC,0.00,8071428,42.4,0.0112,0.0108,0.0115,-3.57,491,손절-3.0%
2026-07-21T10:09:20.128468+09:00,2026-07-21T10:21:52.377868+09:00,CAP,0.07,3603801,36.0,29.07,28.13,29.14,-3.23,13,손절-3.0%
2026-07-20T16:58:53.721619+09:00,2026-07-21T10:24:04.798389+09:00,ORBS,0.15,3121960,99.3,8.409,8.562,8.999,+1.82,1045,트레일(고점+7.0%)
2026-07-20T23:34:33.644601+09:00,2026-07-21T10:34:07.474775+09:00,KAITO,0.11,4440610,8.1,1372,1396,1465,+1.75,660,트레일(고점+6.8%)
2026-07-20T18:03:03.917621+09:00,2026-07-21T10:36:23.143305+09:00,EDGE,0.00,3545548,150.7,94.91,103,108,+8.52,993,트레일(고점+13.8%)
2026-07-21T10:07:07.752910+09:00,2026-07-21T10:39:23.243832+09:00,ACE,0.29,3727836,40.9,161,155,163,-3.73,32,손절-3.0%
2026-07-20T10:53:03.034949+09:00,2026-07-21T10:53:08.627041+09:00,GNO,0.27,4032033,60.5,162700,163900,164200,+0.74,1440,타임아웃24h
2026-07-20T10:53:47.975741+09:00,2026-07-21T10:53:53.555288+09:00,GWEI,0.25,5682106,12.2,41.18,41.73,42.95,+1.34,1440,타임아웃24h
2026-07-21T10:50:09.856483+09:00,2026-07-21T11:06:50.172766+09:00,HEMI,0.06,7638344,76.7,9.356,9.06,9.514,-3.16,17,손절-3.0%
2026-07-20T11:07:19.149464+09:00,2026-07-21T11:07:32.472608+09:00,XPLA,0.01,3162799,10.5,6.717,6.87,6.99,+2.28,1440,타임아웃24h
2026-07-21T05:49:01.383623+09:00,2026-07-21T11:09:46.484803+09:00,THE,0.11,12156450,106.5,81.92,79.42,84.98,-3.05,321,손절-3.0%
2026-07-20T17:57:54.945071+09:00,2026-07-21T11:13:50.994017+09:00,DEXE,0.00,3704654,11.1,49120,51750,54300,+5.35,1036,트레일(고점+10.5%)
2026-07-20T11:15:12.392593+09:00,2026-07-21T11:15:19.229506+09:00,PEPE,0.00,23999999,23.1,0.0042,0.0043,0.0044,+2.38,1440,타임아웃24h
2026-07-21T11:14:12.535043+09:00,2026-07-21T11:16:49.697630+09:00,DEXE,0.00,3704654,11.1,51750,49990,51750,-3.40,3,손절-3.0%
2026-07-20T17:11:41.482828+09:00,2026-07-21T11:19:00.759026+09:00,B3,0.04,3791612,244.3,0.7569,0.7572,0.7954,+0.04,1087,트레일(고점+5.1%)
2026-07-21T04:02:23.966489+09:00,2026-07-21T11:19:23.465093+09:00,ZIL,0.12,3215905,32.2,4.117,4.211,4.42,+2.28,437,트레일(고점+7.4%)
2026-07-20T11:23:29.340026+09:00,2026-07-21T11:23:46.644055+09:00,ARPA,0.05,4237843,54.8,11.95,12.01,12.01,+0.50,1440,타임아웃24h
2026-07-20T11:23:29.384650+09:00,2026-07-21T11:23:46.663945+09:00,CTR,0.26,3041740,26.1,11.81,11.99,12.32,+1.52,1440,타임아웃24h
