exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-07-01 06:41:54,TAIKO,1.85,138.0000,138.0000,+0.00,타임아웃15분,False
2026-07-01 06:44:18,EDGE,1.80,113.0000,111.0000,-1.77,손절-1.5%,False
2026-07-01 06:48:02,IN,1.98,103.0000,103.0000,+0.00,트레일(고점+1.9%),False
2026-07-01 06:56:40,IN,1.98,104.0000,102.0000,-1.92,손절-1.5%,False
2026-07-01 07:09:01,IN,1.98,104.0000,105.0000,+0.96,트레일(고점+2.9%),False
2026-07-01 07:16:49,IN,1.96,104.0000,105.0000,+0.96,트레일(고점+2.9%),False
2026-07-01 07:21:44,ENA,1.83,109.0000,110.0000,+0.92,타임아웃15분,False
2026-07-01 07:24:03,IN,1.92,107.0000,105.0000,-1.87,손절-1.5%,False
2026-07-01 07:27:12,TAIKO,2.63,137.0000,138.0000,+0.73,타임아웃15분,False
2026-07-01 07:30:09,IN,1.92,107.0000,105.0000,-1.87,손절-1.5%,False
2026-07-01 07:40:33,IN,1.90,106.0000,106.0000,+0.00,트레일(고점+1.9%),False
2026-07-01 07:56:29,ENA,1.85,109.0000,109.0000,+0.00,타임아웃15분,False
2026-07-01 07:56:54,EDGE,1.79,114.0000,112.0000,-1.75,손절-1.5%,False
2026-07-01 08:04:50,TAIKO,1.85,140.0000,141.0000,+0.71,트레일(고점+4.3%),False
2026-07-01 08:11:56,IN,1.90,106.0000,106.0000,+0.00,트레일(고점+1.9%),False
2026-07-01 08:14:15,SLX,1.55,774.0000,773.0000,-0.13,타임아웃15분,False
2026-07-01 08:25:22,EDGE,1.80,112.0000,111.0000,-0.89,타임아웃15분,False
2026-07-01 08:26:44,IN,1.89,107.0000,105.0000,-1.87,손절-1.5%,False
2026-07-01 08:33:31,IN,1.90,107.0000,107.0000,+0.00,트레일(고점+1.9%),False
2026-07-01 08:38:28,XPL,1.53,132.0000,131.0000,-0.76,타임아웃15분,False
2026-07-01 08:42:44,EDGE,1.77,111.0000,113.0000,+1.80,타임아웃15분,False
2026-07-01 08:44:18,IN,1.87,109.0000,107.0000,-1.83,손절-1.5%,False
2026-07-01 08:47:20,IN,1.89,107.0000,107.0000,+0.00,트레일(고점+1.9%),False
