entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2025-07-03,2025-07-07,PENGUUSDT,PENGU,21.13,19.81,56.17,30.0,-6.247,-1.8741,랭크아웃(Top3이탈),4,3.22,-6.25
2025-06-28,2025-07-08,SEIUSDT,SEI,393.0,345.0,49.43,30.0,-12.2137,-3.6641,랭크아웃(Top3이탈),10,6.87,-12.21
2025-07-06,2025-07-13,HFTUSDT,HFT,134.0,109.0,69.79,30.0,-18.6567,-5.597,랭크아웃(Top3이탈),7,0.0,-18.66
2025-07-08,2025-07-18,PENGUUSDT,PENGU,20.95,40.0,66.14,30.0,90.9308,27.2792,트레일(최고118%->91%),10,117.52,-4.92
2025-07-13,2025-07-20,XLMUSDT,XLM,628.0,643.0,94.43,30.0,2.3885,0.7166,랭크아웃(Top3이탈),7,3.18,-3.18
2025-07-20,2025-07-22,CFXUSDT,CFX,236.0,254.0,131.37,30.0,7.6271,2.2881,트레일(최고24%->8%),2,24.15,-0.0
2025-07-07,2025-07-23,BONKUSDT,BONK,0.0304,0.0455,54.31,30.0,49.6711,14.9013,랭크아웃(Top3이탈),16,61.84,-8.88
2025-07-18,2025-07-25,PENGUUSDT,PENGU,40.0,49.37,142.57,30.0,23.425,7.0275,트레일(최고43%->23%),7,42.58,-0.0
2025-07-23,2025-07-26,SPKUSDT,SPK,197.0,143.0,317.64,30.0,-27.4112,-8.2234,스탑-20%,3,0.0,-27.41
2025-07-22,2025-07-28,CFXUSDT,CFX,254.0,249.0,141.9,30.0,-1.9685,-0.5906,랭크아웃(Top3이탈),6,0.0,-8.66
2025-07-26,2025-07-29,SPKUSDT,SPK,143.0,108.0,229.34,30.0,-24.4755,-7.3427,스탑-20%,3,0.0,-24.48
2025-07-28,2025-07-29,ENAUSDT,ENA,888.0,793.0,155.91,30.0,-10.6982,-3.2095,랭크아웃(Top3이탈),1,0.0,-10.7
2025-07-25,2025-07-30,PENGUUSDT,PENGU,49.37,51.65,126.36,30.0,4.6182,1.3855,랭크아웃(Top3이탈),5,18.84,-0.0
2025-07-29,2025-07-31,SPKUSDT,SPK,108.0,127.0,163.03,30.0,17.5926,5.2778,트레일(최고34%->18%),2,34.26,-0.0
2025-07-31,2025-08-08,SPKUSDT,SPK,127.0,156.0,170.56,30.0,22.8346,6.8504,트레일(최고42%->23%),8,41.73,-1.57
2025-07-29,2025-08-09,CFXUSDT,CFX,319.0,294.0,209.71,30.0,-7.837,-2.3511,랭크아웃(Top3이탈),11,0.0,-16.3
2025-07-30,2025-08-09,ENAUSDT,ENA,799.0,1005.0,101.77,30.0,25.7822,7.7347,랭크아웃(Top3이탈),10,25.78,-6.01
2025-08-08,2025-08-11,SPKUSDT,SPK,156.0,143.0,199.83,30.0,-8.3333,-2.5,랭크아웃(Top3이탈),3,1.92,-8.33
